2010,2010rate,2000,2000rate,1990,1990rate,1980,1980rate,1970,1970rate,1960,1960rate,1950,1950rate,1940,1940rate,1930,1930rate,1920,1920rate,1910,1910rate,1900,County,County_FIPS,ANSI
54571,24.96,43671,27.61,34222,6.09,32259,31.88,24460,30.53,18739,3.04,18186,-13.31,20977,6.51,19694,4.16,18908,-5.64,20038,11.85,17915,Autauga,001,161526
182265,29.80,140415,42.87,98280,25.11,78556,32.29,59382,20.97,49088,19.74,40997,26.83,32324,14.26,28289,36.46,20730,14.04,18178,37.77,13194,Baldwin,003,161527
27457,-5.44,29038,14.25,25417,2.67,24756,9.82,22543,-8.73,24700,-14.51,28892,-11.70,32722,0.92,32425,1.12,32067,-2.02,32728,-6.90,35152,Barbour,005,161528
22915,10.03,20826,25.64,16576,5.43,15723,13.84,13812,-3.80,14357,-20.18,17987,-10.76,20155,-3.01,20780,-10.21,23144,1.55,22791,23.21,18498,Bibb,007,161529
57322,12.34,51024,30.00,39248,7.65,36459,35.77,26853,5.52,25449,-12.17,28975,-1.75,29490,5.25,28020,9.72,25538,19.02,21456,-7.19,23119,Blount,009,161530
10914,-6.83,11714,6.09,11042,4.21,10596,-10.39,11824,-12.17,13462,-16.15,16054,-18.96,19810,-1.03,20016,-20.99,25333,-16.10,30196,-5.47,31944,Bullock,011,161531
20947,-2.11,21399,-2.25,21892,0.98,21680,-1.49,22007,-10.39,24560,-15.97,29228,-9.92,32447,7.46,30195,2.25,29531,1.73,29030,12.69,25761,Butler,013,161532
118572,5.63,112249,-3.26,116034,-3.11,119761,16.17,103092,7.52,95878,20.54,79539,25.62,63319,13.86,55611,16.29,47822,22.26,39115,12.16,34874,Calhoun,015,161533
34215,-6.47,36583,-0.79,36876,-5.91,39191,7.80,36356,-3.89,37828,-4.30,39528,-6.21,42146,7.21,39313,-4.58,41201,14.27,36056,10.76,32554,Chambers,017,161534
25989,8.34,23988,22.74,19543,4.17,18760,20.21,15606,-4.28,16303,-7.55,17634,-11.51,19928,-1.44,20219,-3.08,20862,3.14,20226,-4.12,21096,Cherokee,019,161535
43643,10.23,39593,21.98,32458,6.03,30612,21.57,25180,-2.00,25693,-4.57,26922,-3.70,27955,13.74,24579,7.94,22770,-1.80,23187,40.34,16522,Chilton,021,161536
13859,-12.96,15922,-0.60,16018,-4.88,16839,1.51,16589,-7.17,17870,-6.69,19152,-5.16,20195,-1.55,20513,-1.16,20753,12.28,18483,1.91,18136,Choctaw,023,161537
25833,-7.30,27867,2.30,27240,-1.67,27702,3.66,26724,3.83,25738,-3.05,26548,-3.94,27636,6.23,26016,-1.49,26409,-14.77,30987,11.50,27790,Clarke,025,161538
13932,-2.26,14254,7.56,13252,-3.29,13703,8.44,12636,1.90,12400,-10.98,13929,-17.61,16907,-4.85,17768,-21.54,22645,7.80,21006,22.85,17099,Clay,027,161539
14972,6.01,14123,10.94,12730,1.07,12595,14.54,10996,0.78,10911,-8.34,11904,-12.66,13629,5.84,12877,-3.62,13360,-0.19,13385,1.36,13206,Cleburne,029,161540
49948,14.52,43615,8.39,40240,4.43,38533,10.50,34872,14.02,30583,-0.45,30720,-3.96,31987,-1.75,32556,8.27,30070,15.13,26119,24.54,20972,Coffee,031,161541
54428,-1.01,54984,6.42,51666,-5.23,54519,9.85,49632,6.72,46506,17.56,39561,16.04,34093,14.18,29860,-6.68,31997,29.01,24802,11.02,22341,Colbert,033,161542
