county_fips,county,1900pop,1910,1910pop,1920,1920pop,1930,1930pop,1940,1940pop,1950,1950pop,1960,1960pop,1970,1970pop,1980,1980pop,1990,1990pop,2000,2000pop,2010,2010pop
001,Autauga,17915,11.85,20038,-5.64,18908,4.16,19694,6.51,20977,-13.31,18186,3.04,18739,30.53,24460,31.88,32259,6.09,34222,27.61,43671,24.96,54571
003,Baldwin,13194,37.77,18178,14.04,20730,36.46,28289,14.26,32324,26.83,40997,19.74,49088,20.97,59382,32.29,78556,25.11,98280,42.87,140415,29.8,182265
005,Barbour,35152,-6.9,32728,-2.02,32067,1.12,32425,0.92,32722,-11.7,28892,-14.51,24700,-8.73,22543,9.82,24756,2.67,25417,14.25,29038,-5.44,27457
007,Bibb,18498,23.21,22791,1.55,23144,-10.21,20780,-3.01,20155,-10.76,17987,-20.18,14357,-3.8,13812,13.84,15723,5.43,16576,25.64,20826,10.03,22915
009,Blount,23119,-7.19,21456,19.02,25538,9.72,28020,5.25,29490,-1.75,28975,-12.17,25449,5.52,26853,35.77,36459,7.65,39248,30,51024,12.34,57322
011,Bullock,31944,-5.47,30196,-16.1,25333,-20.99,20016,-1.03,19810,-18.96,16054,-16.15,13462,-12.17,11824,-10.39,10596,4.21,11042,6.09,11714,-6.83,10914
013,Butler,25761,12.69,29030,1.73,29531,2.25,30195,7.46,32447,-9.92,29228,-15.97,24560,-10.39,22007,-1.49,21680,0.98,21892,-2.25,21399,-2.11,20947
015,Calhoun,34874,12.16,39115,22.26,47822,16.29,55611,13.86,63319,25.62,79539,20.54,95878,7.52,103092,16.17,119761,-3.11,116034,-3.26,112249,5.63,118572
017,Chambers,32554,10.76,36056,14.27,41201,-4.58,39313,7.21,42146,-6.21,39528,-4.3,37828,-3.89,36356,7.8,39191,-5.91,36876,-0.79,36583,-6.47,34215
019,Cherokee,21096,-4.12,20226,3.14,20862,-3.08,20219,-1.44,19928,-11.51,17634,-7.55,16303,-4.28,15606,20.21,18760,4.17,19543,22.74,23988,8.34,25989
021,Chilton,16522,40.34,23187,-1.8,22770,7.94,24579,13.74,27955,-3.7,26922,-4.57,25693,-2,25180,21.57,30612,6.03,32458,21.98,39593,10.23,43643
023,Choctaw,18136,1.91,18483,12.28,20753,-1.16,20513,-1.55,20195,-5.16,19152,-6.69,17870,-7.17,16589,1.51,16839,-4.88,16018,-0.6,15922,-12.96,13859
025,Clarke,27790,11.5,30987,-14.77,26409,-1.49,26016,6.23,27636,-3.94,26548,-3.05,25738,3.83,26724,3.66,27702,-1.67,27240,2.3,27867,-7.3,25833
027,Clay,17099,22.85,21006,7.8,22645,-21.54,17768,-4.85,16907,-17.61,13929,-10.98,12400,1.9,12636,8.44,13703,-3.29,13252,7.56,14254,-2.26,13932
029,Cleburne,13206,1.36,13385,-0.19,13360,-3.62,12877,5.84,13629,-12.66,11904,-8.34,10911,0.78,10996,14.54,12595,1.07,12730,10.94,14123,6.01,14972
031,Coffee,20972,24.54,26119,15.13,30070,8.27,32556,-1.75,31987,-3.96,30720,-0.45,30583,14.02,34872,10.5,38533,4.43,40240,8.39,43615,14.52,49948
033,Colbert,22341,11.02,24802,29.01,31997,-6.68,29860,14.18,34093,16.04,39561,17.56,46506,6.72,49632,9.85,54519,-5.23,51666,6.42,54984,-1.01,54428
035,Conecuh,17514,22.38,21433,14.74,24593,3.4,25429,0.24,25489,-14.57,21776,-18.43,17762,-11.92,15645,1.53,15884,-11.52,14054,0.25,14089,-6.11,13228
037,Coosa,16144,3.04,16634,-10.79,14839,-16.03,12460,8.03,13460,-12.59,11766,-8.84,10726,-0.6,10662,6.71,11377,-2.76,11063,10.3,12202,-5.43,11539
039,Covington,15346,109.33,32124,18.61,38103,8.54,41356,2.57,42417,-4.82,40373,-11.75,35631,-4.36,34079,8.13,36850,-1.01,36478,3.16,37631,0.36,37765
041,Crenshaw,19668,18.53,23313,-1.27,23017,2.78,23656,-0.11,23631,-19.68,18981,-21.45,14909,-11.54,13188,6.99,14110,-3.37,13635,0.22,13665,1.76,13906
043,Cullman,17849,58.67,28321,16.64,33034,24.27,41051,15.33,47343,3.6,49046,-7.08,45572,15.08,52445,17.54,61642,9.69,67613,14.6,77483,3.77,80406
045,Dale,21189,1.98,21608,5.1,22711,2.04,23175,-2.11,22685,-8.19,20828,49.15,31066,70.4,52938,-9.67,47821,3.79,49633,-1.02,49129,2.28,50251
047,Dallas,54657,-2.3,53401,2.43,54697,0.73,55094,0.27,55245,1.86,56270,0.71,56667,-2.42,55296,-2.38,53981,-10.84,48130,-3.67,46365,-5.49,43820
049,DeKalb,23558,19.96,28261,21.81,34426,16.49,40104,7.41,43075,4.58,45048,-8.06,41417,1.36,41981,27.81,53658,1.85,54651,17.93,64452,10.33,71109
051,Elmore,26099,8.22,28245,-0.57,28085,22.06,34280,0.78,34546,-8.39,31649,-3.55,30524,9.86,33535,29.39,43390,13.41,49210,33.86,65874,20.39,79303
053,Escambia,11320,66.86,18889,18.93,22464,24.48,27963,9.68,30671,2.52,31443,6.58,33511,4.16,34906,10.12,38440,-7.6,35518,8.23,38440,-0.31,38319
055,Etowah,27361,42.94,39109,20.88,47275,34.11,63399,14.48,72580,29.36,93892,3.29,96980,-2.92,94144,9.47,103057,-3.12,99840,3.62,103459,0.94,104430
057,Fayette,14132,14.97,16248,13.03,18365,0.42,18443,17.39,21651,-10.45,19388,-16.71,16148,0.64,16252,15.73,18809,-4.5,17962,2.97,18495,-6.78,17241
059,Franklin,16511,17.31,19369,13.64,22011,15.27,25372,8.59,27552,-6.7,25705,-14.46,21988,8.85,23933,18.46,28350,-1.89,27814,12.26,31223,1.54,31704
