County,Latitude,Longitude,Cattle,Sheep,Goats,Total,sqkm,density
Baringo,0.6692519803,35.9464653527,990899,550819,1872477,3414195,11015.34,309.9491254923
Bomet,-0.7262945834,35.2985975867,425426,116789,110032,652247,2471.3,263.9287014931
Bungoma,0.7492852396,34.6404608756,331522,88968,83057,503547,3032.15,166.0692907673
Busia,0.3874436775,34.1936314884,163795,31741,85773,281309,1695.03,165.9610744353
Elgeyo Marakwet,0.8022188109,35.5365631474,197319,292141,172270,661730,3029.78,218.4085973239
Embu,-0.642555,37.661415,150700,47550,220795,419045,2818.04,148.7008701083
Garissa,-0.4889103448,40.1992785378,903678,1224448,2090613,4218739,44175.02,95.5005566494
Homa Bay,-0.5428093942,34.3589968687,373543,118947,259175,751665,3183.29,236.1283452026
Isiolo,1.0104430775,38.5421531206,198424,361836,398903,959163,25336.07,37.8576077505
Kajiado,-2.1213835779,36.908842193,411840,718950,699658,1830448,21900.97,83.5783985823
Kakamega,0.403683464,34.744511153,417952,100938,62743,581633,3051.23,190.6224702825
Kericho,-0.295732906,35.3140700086,218816,51276,72959,343051,2478.99,138.383373874
Kiambu,-1.068706066,36.8235642579,284216,147801,115900,547917,2543.42,215.4252935025
Kilifi,-3.1757320132,39.6866875507,186963,46949,472108,706020,12609.74,55.9900521343
Kirinyaga,-0.5247462962,37.3198681093,144112,27642,101596,273350,1479.09,184.8095788627
Kisii,-0.7746037572,34.7747229835,306037,24763,87847,418647,1317.53,317.7513984501
Kisumu,-0.1694586948,34.835203466,272783,150401,194966,618150,2085.93,296.3426385353
Kitui,-1.4910385308,38.4069210158,340341,65504,1057390,1463235,30496.51,47.98040825
Kwale,-4.1831495272,39.1904119005,255143,83133,349755,688031,8270.15,83.1945007043
Laikipia,0.3236041225,36.7717278588,189685,340914,282734,813333,9461.92,85.9585580939
Lamu,-2.0786825436,40.882860682,81200,15626,68178,165004,6273.12,26.3033386895
Machakos,-1.2795123066,37.4126760329,339891,126608,629974,1096473,6208.24,176.6157558342
Makueni,-2.1576841001,37.7882455725,271039,99512,733385,1103936,8008.75,137.841236148
Mandera,3.436469488,40.7388101667,1076978,1632824,3929747,6639549,25991.47,255.4510768341
Marsabit,2.9786587865,37.5695361088,424603,960004,1143480,2528087,70961.19,35.6263332112
Meru,0.1667792413,37.7640370542,471719,197923,402317,1071959,6936.24,154.5446812682
Migori,-0.9895368437,34.3633453076,381172,93664,199233,674069,2596.44,259.6127774953
Mombasa,-4.0212562197,39.6508827026,12997,3552,29807,46356,218.86,211.8066343781
Murang'a,-0.8095905365,37.0327225233,243248,54319,187147,484714,2558.82,189.4287210511
Nairobi,-1.2934134703,36.8681892682,54546,34717,46837,136100,695.1,195.7991655877
Nakuru,-0.4636754317,36.0784790942,439994,505035,227037,1172066,7495.07,156.3782593091
Nandi,0.1866888869,35.1104876664,309038,121461,46669,477168,2884.18,165.4432108953
Narok,-1.2547903321,35.5763292139,1416886,1650029,880218,3947133,17933.05,220.1038306367
Nyamira,-0.6427324001,34.9646595611,121502,12714,43501,177717,899.33,197.61044333
Nyandarua,-0.3220778225,36.482869161,232083,265666,23640,521389,3245.25,160.662198598
Nyeri,-0.3429235894,36.9564781346,222246,168809,102926,493981,3337.09,148.0274730379
Samburu,1.3168546261,37.118394067,184666,387698,550750,1123114,21022.15,53.4252681101
Siaya,-0.0621298886,34.2476417045,293633,94566,176547,564746,2530.38,223.1862408018
Taita Taveta,-3.4347339937,38.4186020033,153768,45327,166660,365755,17084.04,21.4091631722
Tana River,-1.5263666043,39.4178692029,269894,272852,484220,1026966,38436.91,26.718224748
Tharaka Nithi,-0.2070612179,37.8702972709,63444,31961,142813,238218,2638.83,90.2740987483
Trans Nzoia,1.0509548086,34.9574199775,179147,139843,31953,350943,2495.53,140.6286440155
Turkana,3.4248491959,35.4357584553,1534612,3517151,5994861,11046624,68680.29,160.841254456
Uasin Gishu,0.5260858915,35.3220116672,295104,226947,44166,566217,3345.21,169.2620194248
Vihiga,0.0762657959,34.7223230361,148243,12078,32373,192694,530.9,362.9572424185
Wajir,1.8081376238,40.0349856396,794552,1406883,1866226,4067661,56685.83,71.7579860787
West Pokot,1.7401061713,35.2438468092,686375,460327,764737,1911439,9169.41,208.4582323181
