District,Cattle,Sheep,Goats,Total,County,Latitude,Longitude
BARINGO,68595,72260,168852,309707,Baringo,0.448155493,35.97415916
BARINGO NORTH,38143,30446,128364,196953,Baringo,0.745856425,35.80555092
BOMET,210855,53060,82395,346310,Bomet,-0.840969003,35.31899335
BONDO,66419,19004,52674,138097,Siaya,-0.09212788,34.19064437
BORABU,22827,4416,8776,36019,Nyamira,-0.735368659,35.02803793
BUNGOMA EAST,59883,12384,9186,81453,Bungoma,0.63973936,34.73645726
BUNGOMA NORTH,77907,29975,8612,116494,Bungoma,0.783636675,34.86452529
BUNGOMA SOUTH,83978,13374,28068,125420,Bungoma,0.56139561,34.52131934
BUNGOMA WEST,63813,12876,22523,99212,Bungoma,0.718594776,34.54143282
BUNYALA,13912,2632,10577,27121,Busia,0.085563847,34.02046792
BURET,112087,33629,14250,159966,Bomet,-0.547074877,35.3033778
BUSIA,71386,15269,19050,105705,Busia,0.413063265,34.26474625
BUTERE,64007,14963,12378,91348,Kakamega,0.192421093,34.54564535
CHALBI,220979,682991,698582,1602552,Marsabit,3.399917155,37.36288736
EAST POKOT,787209,380125,1474617,2641951,Baringo,1.049001072,36.01860317
ELDORET EAST,99774,95778,22796,218348,Uasin Gishu,0.563160828,35.41893944
ELDORET WEST,109909,75332,14856,200097,Uasin Gishu,0.711285558,35.19163187
EMBU,67052,20716,54116,141884,Embu,-0.409100139,37.50475286
EMUHAYA,49665,4646,10156,64467,Vihiga,0.057677852,34.60778185
FAFI,86337,98889,179226,364452,Garissa,-0.687063677,40.43908059
GARBATULLA,96899,209672,232354,538925,Isiolo,0.627639147,38.65180184
GARISSA,266878,312601,1000856,1580335,Garissa,-0.051825797,39.56855753
GATANGA,28494,6480,17402,52376,Murang'a,-0.876497537,36.88791928
GATUNDU,53364,27569,20162,101095,Kiambu,-0.959326055,36.85558237
GITHUNGURI,57008,9111,6513,72632,Kiambu,-1.066938632,36.79433274
GUCHA,98487,9178,21941,129606,Kisii,-0.846550168,34.77186075
GUCHA SOUTH,40625,2719,10449,53793,Kisii,-0.847942391,34.65567846
HAMISI,38990,3685,7894,50569,Vihiga,0.099070606,34.82143608
HOMABAY,158259,48665,67488,274412,Homa Bay,-0.667961724,34.44445584
IGEMBE,108661,25083,100052,233796,Meru,0.303772382,38.05720532
IJARA,352617,323676,348648,1024941,Garissa,-1.427885086,40.73455516
IMENTI NORTH,84555,72865,46724,204144,Meru,0.083380846,37.43552549
IMENTI SOUTH,54240,15755,40921,110916,Meru,-0.122681965,37.60133849
ISIOLO,101525,152164,166549,420238,Isiolo,1.255057085,38.46170147
KAJIADO CENTRAL,95534,218961,270148,584643,Kajiado,-2.133910157,36.89341002
KAJIADO NORTH,151295,314080,236790,702165,Kajiado,-1.646437311,36.44660994
KAKAMEGA CENTRAL,65044,12219,12864,90127,Kakamega,0.350512813,34.6856109
KAKAMEGA EAST,43994,7662,3450,55106,Kakamega,0.273804872,34.85789384
KAKAMEGA NORTH,63536,10644,11670,85850,Kakamega,0.473620028,34.82641205
KAKAMEGA SOUTH,29661,4793,1814,36268,Kakamega,0.190561619,34.7077479
KALOLENI,54501,10424,105773,170698,Kilifi,-3.768179495,39.54477529
KANGUNDO,71168,33887,85250,190305,Machakos,-1.237582196,37.27203719
KEIYO,97350,89881,64177,251408,Elgeyo Marakwet,0.489045271,35.57039657
KERICHO,130712,16000,46176,192888,Kericho,-0.34219841,35.21130866
KIAMBU EASTKIAMBAA,28767,11057,10459,50283,Kiambu,-1.158558742,36.80546766
KIAMBU WEST,22484,19745,5765,47994,Kiambu,-1.139177531,36.62625892
KIBWEZI,64791,29657,253037,347485,Makueni,-2.468788914,38.02538524
KIKUYU,32758,17304,9499,59561,Kiambu,-1.236882983,36.63360077
KILIFI,66502,17440,193040,276982,Kilifi,-3.494969907,39.60114414
KILINDINI,4509,1397,14397,20303,Mombasa,-4.0383,39.6365
KINANGO,84133,46081,170326,300540,Kwale ,-3.96233059,39.10335046
KIPKELION,88104,35276,26783,150163,Kericho,-0.155533799,35.47881562
KIRINYAGA,144112,27642,101596,273350,Kirinyaga,-0.519266797,37.32018369
KISII CENTRAL,77353,5427,28433,111213,Kisii,-0.589287405,34.79181187
KISII SOUTH,25627,788,7930,34345,Kisii,-0.664610487,34.6895693
KISUMU EAST,79369,36552,58628,174549,Kisumu,-0.103412297,34.80473358
KISUMU WEST,50329,16670,35594,102593,Kisumu,-0.087587476,34.53285818
KITUI,138576,17395,381149,537120,Kitui,-1.392710301,38.30094003
KOIBATEK,96952,67988,100644,265584,Baringo,0.105862677,35.86953085
KURIA EAST,48004,15322,31684,95010,Migori,-1.279753411,34.65699509
KURIA WEST,84830,15060,43929,143819,Migori,-1.18554383,34.51983447
KWALE,32903,4771,58873,96547,Kwale ,-4.221293887,39.40753681
KWANZA,53090,48151,15006,116247,Trans Nzoia,1.134996095,34.85810469
KYUSO,53660,27593,175228,256481,Kitui,-0.440861626,38.27042885
LAGDERA,197846,489282,561883,1249011,Garissa,0.288065622,39.89717479
LAIKIPIA EAST,55695,105048,46454,207197,Laikipia,0.093934415,36.95183375
LAIKIPIA NORTH,39417,86452,120416,246285,Laikipia,0.515458301,36.99627658
LAIKIPIA WEST,94573,149414,115864,359851,Laikipia,0.39729996,36.5181069
LAISAMIS,61462,187959,270213,519634,Marsabit,2.238105939,37.48344825
LAMU,81200,15626,68178,165004,Lamu,-2.018858269,40.74388079
LARI,34890,23554,2677,61121,Kiambu,-0.92811243,36.67684469
LOITOKITOK,165011,185909,192720,543640,Kajiado,-2.635934635,37.47875865
LUGARI,78650,35159,12124,125933,Kakamega,0.723211024,35.02947866
MAARA,32522,10418,36423,79363,Meru,-0.228019729,37.62522793
MACHAKOS,121693,46665,148309,316667,Machakos,-1.50054564,37.16409824
MAKUENI,84465,23111,192329,299905,Makueni,-1.881125246,37.67253055
MALINDI,65960,19085,173295,258340,Kilifi,-2.934879654,39.74330931
MANDERA CENTRAL,467713,745295,1767102,2980110,Mandera,3.226535113,40.72748791
MANDERA EAST,306791,542948,1506203,2355942,Mandera,3.521529392,41.29294811
MANDERA WEST,302474,344581,656442,1303497,Mandera,3.593363344,40.2334622
MANGA,22548,1989,7054,31591,Nyamira,-0.688310175,34.90211779
MARAKWET,99969,202260,108093,410322,Elgeyo Marakwet,1.08405524,35.50699822
MARSABIT,25906,13306,28162,67374,Marsabit,2.350360288,37.94495682
MASABA,63945,6651,19094,89690,Kisii,-0.793929262,34.88253143
MBEERE,83648,26834,166679,277161,Embu,-0.666137176,37.66541038
MBOONI,51188,13010,119010,183208,Makueni,-1.649117358,37.60666503
